date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:58:08	1207/1207	---M--	200	added ('OK')	image/png	date:Tue,%2015%20May%202018%2003:27:14%20GMT	http://www.pof-1.com/oslo/heading.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&title.text=Apply+Online+-+Click+Here&font=Zurich&fontsize=32&stage.width.max=170&stagecolor=dfe6f8&width=170&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/heading8257.png	(from http://www.pof-1.com/)
01:58:09	43982/43982	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:11%20GMT	http://www.pof-1.com/store/635634/form/8909196	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/store/635634/form/8909196.html	(from http://www.pof-1.com/)
01:58:09	5744/5744	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Aug%202013%2021:28:14%20GMT	http://www.pof-1.com/files/635634/uploaded/apply-here-button.jpg	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/files/635634/uploaded/apply-here-button.jpg	(from http://www.pof-1.com/)
01:58:09	1391/1391	---M--	200	added ('OK')	image/png	date:Tue,%2015%20May%202018%2003:27:14%20GMT	http://www.pof-1.com/oslo/heading.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&title.text=SPECIAL+OFFERS&font=Zurich&fontsize=32&stage.width.max=170&stagecolor=dfe6f8&width=170&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/heading65ee.png	(from http://www.pof-1.com/)
01:58:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2027%20May%202018%2006:58:11%20GMT	http://www.pof-1.com/store/635634/page/482281738	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/store/635634/page/482281738	(from http://www.pof-1.com/)
01:58:10	1390/1390	---M--	200	added ('OK')	image/png	date:Thu,%2024%20May%202018%2014:00:59%20GMT	http://www.pof-1.com/oslo/pagetitle.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&title.text=Proof+of+Funds+-+Home&font=Zurich&fontsize=20&fontcolor=000000&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/pagetitlee32c.png	(from http://www.pof-1.com/)
01:58:10	3161/3161	---M--	200	added ('OK')	image/png	date:Mon,%2014%20May%202018%2018:01:07%20GMT	http://www.pof-1.com/oslo/heading.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&title.text=For+++Investors+++and++Business&font=Zurich&fontsize=32&stage.width.max=530&stagecolor=ffffff&width=530&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/heading0c03.png	(from http://www.pof-1.com/)
01:58:10	3819/3819	---M--	200	added ('OK')	image/png	date:Tue,%2015%20May%202018%2003:27:14%20GMT	http://www.pof-1.com/oslo/heading.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&title.text=EXPRESS+PROOF+OF+FUNDS+-+INVESTORS&font=Zurich&fontsize=32&stage.width.max=530&stagecolor=ffffff&width=530&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/heading960e.png	(from http://www.pof-1.com/)
01:58:10	4108/4108	---M--	200	added ('OK')	image/png	date:Mon,%2014%20May%202018%2018:01:07%20GMT	http://www.pof-1.com/oslo/heading.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&title.text=VIP+PROGRAM++-+Investors+-+M%26A+-+Corporate+Reserves&font=Zurich&fontsize=32&stage.width.max=530&stagecolor=ffffff&width=530&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/heading2580.png	(from http://www.pof-1.com/)
01:58:10	3699/3699	---M--	200	added ('OK')	image/png	date:Tue,%2015%20May%202018%2003:27:14%20GMT	http://www.pof-1.com/oslo/heading.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&title.text=CORPORATE+PROOF+OF+FUNDS&font=Zurich&fontsize=32&stage.width.max=530&stagecolor=ffffff&width=530&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/heading19b2.png	(from http://www.pof-1.com/)
01:58:11	3311/3311	---M--	200	added ('OK')	image/png	date:Fri,%2025%20May%202018%2001:28:01%20GMT	http://www.pof-1.com/oslo/heading.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&title.text=POF-1.com+is+a+division+of+Commercial+Mortgage+City+Corporation+Boca+Raton%2C+Fl+33433&font=Zurich&fontsize=32&stage.width.max=530&stagecolor=ffffff&width=530&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/heading0111.png	(from http://www.pof-1.com/)
01:58:11	17047/17047	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:13%20GMT	http://www.pof-1.com/page/52666	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/page/52666.html	(from http://www.pof-1.com/)
